City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Avarua,CK,2022-04-03 20:52:47,-21.2078,-159.775,80.65,83,20,6.91
60,Berbera,SO,2022-04-03 20:57:22,10.4396,45.0143,82.51,64,3,5.61
61,Vao,NC,2022-04-03 20:57:22,-22.6667,167.4833,79.29,87,83,18.07
62,Kumbhraj,IN,2022-04-03 20:57:23,24.3667,77.05,83.48,13,0,5.46
63,Port Alfred,ZA,2022-04-03 20:54:13,-33.5906,26.891,67.17,92,97,16.51
64,Mahebourg,MU,2022-04-03 20:55:09,-20.4081,57.7,80.26,83,75,11.5
65,Yeppoon,AU,2022-04-03 20:57:23,-23.1333,150.7333,69.58,72,73,8.66
66,Banepa,NP,2022-04-03 20:55:02,27.6298,85.5214,64.72,77,75,4.61
67,Khani,GE,2022-04-03 20:57:23,41.9563,42.9566,45.97,87,97,5.1
68,Pirenopolis,BR,2022-04-03 20:57:24,-15.8525,-48.9592,86.49,52,59,5.03
69,Khovu-Aksy,RU,2022-04-03 20:57:24,51.1333,93.6,31.93,78,99,5.14
70,Clyde River,CA,2022-04-03 20:57:24,70.4692,-68.5914,14.23,85,0,4.61
71,Port Elizabeth,ZA,2022-04-03 20:57:25,-33.918,25.5701,64.31,89,32,8.99
72,Victoria,HK,2022-04-03 20:54:16,22.2855,114.1577,64.33,60,1,11.99
73,North Platte,US,2022-04-03 20:57:25,41.1239,-100.7654,60.12,20,100,21.99
74,Punta Arenas,CL,2022-04-03 20:54:18,-53.15,-70.9167,46.51,61,40,31.07
75,Provideniya,RU,2022-04-03 20:57:25,64.3833,-173.3,8.71,66,0,15.99
76,Komarikhinskiy,RU,2022-04-03 20:57:26,58.0979,57.1163,39.2,98,100,9.51
77,Sao Pedro Do Sul,BR,2022-04-03 20:57:26,-29.6206,-54.1789,63.25,99,100,5.73
78,Bengkulu,ID,2022-04-03 20:57:26,-3.8004,102.2655,76.53,83,100,4.81
79,Kontagora,NG,2022-04-03 20:57:26,10.3999,5.4695,89.65,25,86,3.6
80,Tiksi,RU,2022-04-03 20:57:27,71.6872,128.8694,4.48,98,100,7.54
81,Atuona,PF,2022-04-03 20:53:36,-9.8,-139.0333,79.99,74,67,22.5
82,Parangan,PH,2022-04-03 20:57:27,5.0839,119.9383,79.72,81,70,6.04
